"sid","entry","irt","fpatchnum","fpatchitem","fitemsfromend","flastitem","meanirt","catitem"
71,"loon",2,9,1,5,0,4.84210526315789,17
71,"eagle",2,9,2,4,0,4.84210526315789,18
71,"hawk",2,9,3,3,0,4.84210526315789,19
71,"raven",2,9,4,2,0,4.84210526315789,20
71,"bluebird",5,9,5,1,1,4.84210526315789,21
71,"raptor",5,10,1,1,1,4.84210526315789,22
71,"fox",4,11,1,1,1,4.84210526315789,23
71,"cow",6,12,1,1,1,4.84210526315789,24
71,"fisher",11,13,1,1,1,4.84210526315789,25
71,"wolverine",3,14,1,2,0,4.84210526315789,26
71,"badger",6,14,2,1,1,4.84210526315789,27
71,"tiger",3,15,1,1,1,4.84210526315789,28
71,"bronco",5,16,1,1,1,4.84210526315789,29
71,"hare",5,17,1,1,1,4.84210526315789,30
71,"turtle",4,18,1,3,0,4.84210526315789,31
71,"crab",6,18,2,2,0,4.84210526315789,32
71,"fish",3,18,3,1,1,4.84210526315789,33
71,"bluegill",7,19,1,1,1,4.84210526315789,34
71,"mantaray",3,20,1,1,1,4.84210526315789,35
71,"caribou",7,22,1,99,0,4.84210526315789,37
71,"polarbear",8,22,2,99,0,4.84210526315789,38
198,"dog",3,1,1,2,0,7.42857142857143,1
198,"cat",2,1,2,1,1,7.42857142857143,2
198,"mouse",4,2,1,2,0,7.42857142857143,3
198,"tiger",7,3,1,2,0,7.42857142857143,5
198,"lion",3,3,2,1,1,7.42857142857143,6
198,"bear",1,4,1,1,1,7.42857142857143,7
198,"cheetah",6,5,1,1,1,7.42857142857143,8
198,"skunk",12,6,1,2,0,7.42857142857143,9
198,"raccoon",2,6,2,1,1,7.42857142857143,10
198,"hamster",12,7,1,1,1,7.42857142857143,11
198,"elephant",3,8,1,2,0,7.42857142857143,12
198,"hippopotamus",2,8,2,1,1,7.42857142857143,13
198,"alligator",6,9,1,6,0,7.42857142857143,14
198,"crocodile",4,9,2,5,0,7.42857142857143,15
198,"boaconstrictor",8,9,3,4,0,7.42857142857143,16
198,"viper",3,9,4,3,0,7.42857142857143,17
198,"rattlesnake",5,9,5,2,0,7.42857142857143,18
198,"opossum",21,10,1,1,1,7.42857142857143,20
198,"fox",8,11,1,4,0,7.42857142857143,21
198,"deer",2,11,2,3,0,7.42857142857143,22
198,"bobcat",9,11,3,2,0,7.42857142857143,23
198,"bird",12,12,1,1,1,7.42857142857143,25
198,"beaver",14,13,1,2,0,7.42857142857143,26
198,"groundhog",5,13,2,1,1,7.42857142857143,27
198,"hyena",40,14,1,99,0,7.42857142857143,28
199,"dog",3,1,1,2,0,6.65,1
199,"cat",2,1,2,1,1,6.65,2
199,"bear",2,2,1,1,1,6.65,3
199,"monkey",1,3,1,1,1,6.65,4
199,"pig",2,4,1,4,0,6.65,5
199,"cow",1,4,2,3,0,6.65,6
199,"horse",2,4,3,2,0,6.65,7
199,"turkey",2,4,4,1,1,6.65,8
199,"giraffe",5,5,1,5,0,6.65,9
199,"elephant",4,5,2,4,0,6.65,10
199,"hippopotamus",2,5,3,3,0,6.65,11
199,"tiger",3,5,4,2,0,6.65,12
199,"lion",1,5,5,1,1,6.65,13
199,"penguin",3,6,1,1,1,6.65,14
199,"mouse",6,7,1,4,0,6.65,15
199,"rat",2,7,2,3,0,6.65,16
199,"hamster",3,7,3,2,0,6.65,17
199,"fish",2,7,4,1,1,6.65,18
199,"chicken",14,8,1,1,1,6.65,19
199,"rabbit",6,9,1,1,1,6.65,20
199,"goose",9,10,1,1,1,6.65,21
199,"turtle",4,11,1,1,1,6.65,22
199,"bird",2,12,1,1,1,6.65,23
199,"frog",1,13,1,1,1,6.65,24
199,"wolf",7,14,1,2,0,6.65,25
199,"raccoon",3,14,2,1,1,6.65,26
199,"possum",2,15,1,1,1,6.65,27
199,"squirrel",10,16,1,2,0,6.65,28
199,"chipmunk",3,16,2,1,1,6.65,29
199,"ferret",22,17,1,1,1,6.65,30
199,"duck",4,18,1,2,0,6.65,31
199,"swan",2,18,2,1,1,6.65,32
199,"shark",4,19,1,3,0,6.65,33
199,"dolphin",3,19,2,2,0,6.65,34
199,"whale",1,19,3,1,1,6.65,35
199,"mountainlion",39,20,1,1,1,6.65,36
199,"gerbil",39,21,1,1,1,6.65,37
199,"gorilla",10,22,1,2,0,6.65,38
199,"chimpanzee",6,22,2,1,1,6.65,39
199,"snake",29,23,1,99,0,6.65,40
285,"deer",4,1,1,8,0,4.84210526315789,1
285,"squirrel",5,1,2,7,0,4.84210526315789,2
285,"rabbit",2,1,3,6,0,4.84210526315789,3
285,"elk",3,1,4,5,0,4.84210526315789,4
285,"moose",2,1,5,4,0,4.84210526315789,5
285,"muledeer",4,1,6,3,0,4.84210526315789,6
285,"whitetaileddeer",9,1,7,2,0,4.84210526315789,7
285,"blacktaileddeer",5,1,8,1,1,4.84210526315789,8
285,"grizzly",7,2,1,4,0,4.84210526315789,9
285,"blackbear",2,2,2,3,0,4.84210526315789,10
285,"brownbear",3,2,3,2,0,4.84210526315789,11
285,"kodiakbear",5,2,4,1,1,4.84210526315789,12
285,"mountaingoat",6,3,1,1,1,4.84210526315789,13
285,"billygoat",3,4,1,1,1,4.84210526315789,14
285,"wolf",4,5,1,5,0,4.84210526315789,15
285,"fox",3,5,2,4,0,4.84210526315789,16
285,"coyote",3,5,3,3,0,4.84210526315789,17
285,"dog",3,5,4,2,0,4.84210526315789,18
285,"cat",2,5,5,1,1,4.84210526315789,19
285,"rat",2,6,1,2,0,4.84210526315789,20
285,"mouse",3,6,2,1,1,4.84210526315789,21
285,"bird",2,7,1,10,0,4.84210526315789,22
285,"cardinal",4,7,2,9,0,4.84210526315789,23
285,"bluejay",2,7,3,8,0,4.84210526315789,24
285,"robin",3,7,4,7,0,4.84210526315789,25
285,"blackbird",2,7,5,6,0,4.84210526315789,26
285,"crow",2,7,6,5,0,4.84210526315789,27
285,"turkey",4,7,7,4,0,4.84210526315789,28
285,"vulture",18,7,8,3,0,4.84210526315789,29
285,"eagle",3,7,9,2,0,4.84210526315789,30
285,"hawk",3,7,10,1,1,4.84210526315789,31
285,"mountainlion",32,8,1,1,1,4.84210526315789,32
285,"elephant",3,9,1,99,0,4.84210526315789,33
285,"giraffe",9,9,2,99,0,4.84210526315789,34
285,"lion",4,9,3,99,0,4.84210526315789,35
285,"tiger",2,9,4,99,0,4.84210526315789,36
285,"zebra",5,9,5,99,0,4.84210526315789,37
285,"antelope",6,9,6,99,0,4.84210526315789,38
286,"dog",2,1,1,2,0,5.90322580645161,1
286,"cat",1,1,2,1,1,5.90322580645161,2
286,"horse",1,2,1,3,0,5.90322580645161,3
286,"cow",3,2,2,2,0,5.90322580645161,4
286,"pig",1,2,3,1,1,5.90322580645161,5
286,"dolphin",6,3,1,1,1,5.90322580645161,6
286,"mouse",5,4,1,2,0,5.90322580645161,7
286,"gerbil",3,4,2,1,1,5.90322580645161,8
286,"chicken",5,5,1,3,0,5.90322580645161,9
286,"goose",2,5,2,2,0,5.90322580645161,10
286,"potbelliedpig",13,5,3,1,1,5.90322580645161,11
286,"hamster",17,6,1,2,0,5.90322580645161,12
286,"ferret",14,6,2,1,1,5.90322580645161,13
286,"raccoon",7,7,1,3,0,5.90322580645161,14
286,"skunk",5,7,2,2,0,5.90322580645161,15
286,"squirrel",5,7,3,1,1,5.90322580645161,16
286,"polarbear",24,8,1,2,0,5.90322580645161,17
286,"grizzly",2,8,2,1,1,5.90322580645161,18
286,"penguin",10,9,1,2,0,5.90322580645161,19
286,"seal",2,9,2,1,1,5.90322580645161,20
286,"monkey",5,10,1,4,0,5.90322580645161,21
286,"giraffe",3,10,2,3,0,5.90322580645161,22
286,"buffalo",3,10,3,2,0,5.90322580645161,23
286,"bison",1,10,4,1,1,5.90322580645161,24
286,"lion",7,11,1,5,0,5.90322580645161,25
286,"tiger",3,11,2,4,0,5.90322580645161,26
286,"cheetah",6,11,3,3,0,5.90322580645161,27
286,"gazelle",10,11,4,2,0,5.90322580645161,28
286,"antelope",3,11,5,1,1,5.90322580645161,29
286,"koala",8,12,1,1,1,5.90322580645161,30
286,"sloth",6,13,1,99,0,5.90322580645161,31
287,"dog",5,1,1,2,0,4,1
287,"cat",2,1,2,1,1,4,2
287,"bird",1,2,1,1,1,4,3
287,"squirrel",3,3,1,2,0,4,4
287,"chipmunk",3,3,2,1,1,4,5
287,"elephant",9,5,1,3,0,4,7
287,"lion",3,5,2,2,0,4,8
287,"tiger",3,5,3,1,1,4,9
287,"bear",1,6,1,1,1,4,10
287,"mouse",1,7,1,2,0,4,11
287,"rat",1,7,2,1,1,4,12
287,"sheep",2,8,1,6,0,4,13
287,"lamb",1,8,2,5,0,4,14
287,"pig",1,8,3,4,0,4,15
287,"donkey",3,8,4,3,0,4,16
287,"goose",2,8,5,2,0,4,17
287,"rooster",2,8,6,1,1,4,18
287,"monkey",5,9,1,3,0,4,19
287,"gorilla",2,9,2,2,0,4,20
287,"giraffe",3,9,3,1,1,4,21
287,"penguin",2,10,1,7,0,4,22
287,"dolphin",2,10,2,6,0,4,23
287,"whale",1,10,3,5,0,4,24
287,"fish",1,10,4,4,0,4,25
287,"crab",1,10,5,3,0,4,26
287,"turtle",2,10,6,2,0,4,27
287,"seahorse",6,10,7,1,1,4,28
287,"fox",14,11,1,3,0,4,29
287,"rabbit",6,11,2,2,0,4,30
287,"bunny",4,11,3,1,1,4,31
287,"gerbil",8,12,1,3,0,4,32
287,"guineapig",5,12,2,2,0,4,33
287,"hamster",4,12,3,1,1,4,34
287,"kangaroo",17,13,1,2,0,4,35
287,"koala",5,13,2,1,1,4,36
287,"crocodile",10,14,1,2,0,4,37
287,"alligator",2,14,2,1,1,4,38
287,"ant",3,15,1,7,0,4,39
287,"bee",2,15,2,6,0,4,40
287,"wasp",2,15,3,5,0,4,41
287,"prayingmantis",5,15,4,4,0,4,42
287,"beetle",4,15,5,3,0,4,43
287,"cockroach",2,15,6,2,0,4,44
287,"fly",1,15,7,1,1,4,45
287,"stingray",11,16,1,2,0,4,46
287,"jellyfish",3,16,2,1,1,4,47
287,"tortoise",15,17,1,99,0,4,48
288,"cheetah",6,1,1,2,0,3.82978723404255,1
288,"lion",2,1,2,1,1,3.82978723404255,2
288,"deer",1,2,1,1,1,3.82978723404255,3
288,"parrot",4,3,1,5,0,3.82978723404255,4
288,"guineapig",4,3,2,4,0,3.82978723404255,5
288,"hamster",2,3,3,3,0,3.82978723404255,6
288,"squirrel",2,3,4,2,0,3.82978723404255,7
288,"chipmunk",4,3,5,1,1,3.82978723404255,8
288,"dove",4,4,1,1,1,3.82978723404255,9
288,"alligator",3,5,1,1,1,3.82978723404255,10
288,"prayingmantis",4,6,1,1,1,3.82978723404255,11
288,"toucan",3,7,1,3,0,3.82978723404255,12
288,"owl",2,7,2,2,0,3.82978723404255,13
288,"pigeon",5,7,3,1,1,3.82978723404255,14
288,"giraffe",6,8,1,1,1,3.82978723404255,15
288,"hawk",9,9,1,1,1,3.82978723404255,16
288,"tiger",11,10,1,2,0,3.82978723404255,17
288,"elephant",2,10,2,1,1,3.82978723404255,18
288,"rat",4,11,1,2,0,3.82978723404255,19
288,"mouse",3,11,2,1,1,3.82978723404255,20
288,"bear",6,12,1,4,0,3.82978723404255,21
288,"moose",1,12,3,2,0,3.82978723404255,23
288,"beaver",4,12,4,1,1,3.82978723404255,24
288,"dog",3,13,1,2,0,3.82978723404255,25
288,"cat",1,13,2,1,1,3.82978723404255,26
288,"iguana",6,14,1,1,1,3.82978723404255,27
288,"ferret",3,15,1,1,1,3.82978723404255,28
288,"pig",4,16,1,6,0,3.82978723404255,29
288,"chicken",2,16,2,5,0,3.82978723404255,30
288,"rooster",4,16,3,4,0,3.82978723404255,31
288,"cow",1,16,4,3,0,3.82978723404255,32
288,"llama",2,16,5,2,0,3.82978723404255,33
288,"rabbit",9,16,6,1,1,3.82978723404255,34
288,"gazelle",10,17,1,2,0,3.82978723404255,35
288,"antelope",2,17,2,1,1,3.82978723404255,36
288,"snake",9,18,1,3,0,3.82978723404255,37
288,"salamander",4,18,2,2,0,3.82978723404255,38
288,"newt",1,18,3,1,1,3.82978723404255,39
288,"ant",1,19,1,6,0,3.82978723404255,40
288,"fly",3,19,2,5,0,3.82978723404255,41
288,"gnat",4,19,3,4,0,3.82978723404255,42
288,"mosquito",2,19,4,3,0,3.82978723404255,43
288,"bee",3,19,5,2,0,3.82978723404255,44
288,"ladybug",3,19,6,1,1,3.82978723404255,45
288,"aardvark",7,20,1,99,0,3.82978723404255,46
288,"anteater",3,20,2,99,0,3.82978723404255,47
289,"cat",2,1,1,2,0,4.97368421052632,1
289,"dog",3,1,2,1,1,4.97368421052632,2
289,"mouse",2,2,1,1,1,4.97368421052632,3
289,"bird",2,3,1,1,1,4.97368421052632,4
289,"snake",2,4,1,3,0,4.97368421052632,5
289,"hamster",8,4,2,2,0,4.97368421052632,6
289,"kitten",5,4,3,1,1,4.97368421052632,7
289,"cow",2,5,1,5,0,4.97368421052632,8
289,"pig",1,5,2,4,0,4.97368421052632,9
289,"sheep",2,5,3,3,0,4.97368421052632,10
289,"horse",2,5,4,2,0,4.97368421052632,11
289,"chicken",2,5,5,1,1,4.97368421052632,12
289,"jaguar",5,6,1,4,0,4.97368421052632,13
289,"cheetah",2,6,2,3,0,4.97368421052632,14
289,"lion",3,6,3,2,0,4.97368421052632,15
289,"lioness",2,6,4,1,1,4.97368421052632,16
289,"cub",2,7,1,2,0,4.97368421052632,17
289,"bear",3,7,2,1,1,4.97368421052632,18
289,"zebra",6,8,1,4,0,4.97368421052632,19
289,"elephant",3,8,2,3,0,4.97368421052632,20
289,"hippopotamus",2,8,3,2,0,4.97368421052632,21
289,"giraffe",7,8,4,1,1,4.97368421052632,22
289,"fox",4,9,1,1,1,4.97368421052632,23
289,"ostrich",7,10,1,1,1,4.97368421052632,24
289,"koala",5,11,1,1,1,4.97368421052632,25
289,"penguin",4,12,1,2,0,4.97368421052632,26
289,"polarbear",5,12,2,1,1,4.97368421052632,27
289,"rooster",6,13,1,1,1,4.97368421052632,28
289,"monkey",6,14,1,1,1,4.97368421052632,29
289,"panda",5,15,1,1,1,4.97368421052632,30
289,"buffalo",7,17,1,2,0,4.97368421052632,32
289,"bison",8,17,2,1,1,4.97368421052632,33
289,"turkey",6,18,1,1,1,4.97368421052632,34
289,"cougar",14,19,1,3,0,4.97368421052632,35
289,"bull",10,19,2,2,0,4.97368421052632,36
289,"tiger",6,19,3,1,1,4.97368421052632,37
289,"wombat",18,20,1,99,0,4.97368421052632,38
290,"mongoose",4,1,1,2,0,5.31428571428571,1
290,"lemur",1,1,2,1,1,5.31428571428571,2
290,"koala",2,2,1,2,0,5.31428571428571,3
290,"dingo",1,2,2,1,1,5.31428571428571,4
290,"dog",3,3,1,2,0,5.31428571428571,5
290,"cat",1,3,2,1,1,5.31428571428571,6
290,"bear",0,4,1,1,1,5.31428571428571,7
290,"mouse",2,5,1,1,1,5.31428571428571,8
290,"elephant",2,6,1,3,0,5.31428571428571,9
290,"lion",4,6,2,2,0,5.31428571428571,10
290,"tiger",6,6,3,1,1,5.31428571428571,11
290,"polarbear",7,7,1,1,1,5.31428571428571,12
290,"zebra",5,8,1,1,1,5.31428571428571,13
290,"jellyfish",4,9,1,2,0,5.31428571428571,14
290,"whale",3,9,2,1,1,5.31428571428571,15
290,"meerkat",7,10,1,1,1,5.31428571428571,16
290,"hog",2,11,1,1,1,5.31428571428571,17
290,"warthog",3,12,1,1,1,5.31428571428571,18
290,"chicken",8,13,1,3,0,5.31428571428571,19
290,"rooster",5,13,2,2,0,5.31428571428571,20
290,"cow",8,13,3,1,1,5.31428571428571,21
290,"bull",1,14,1,1,1,5.31428571428571,22
290,"cattle",2,15,1,2,0,5.31428571428571,23
290,"horse",9,15,2,1,1,5.31428571428571,24
290,"seahorse",4,16,1,4,0,5.31428571428571,25
290,"penguin",11,16,2,3,0,5.31428571428571,26
290,"shark",5,16,3,2,0,5.31428571428571,27
290,"narwhal",2,16,4,1,1,5.31428571428571,28
290,"duck",8,17,1,3,0,5.31428571428571,29
290,"goose",7,17,2,2,0,5.31428571428571,30
290,"swan",2,17,3,1,1,5.31428571428571,31
290,"ocelot",11,18,1,1,1,5.31428571428571,32
290,"rabbit",10,19,1,99,0,5.31428571428571,33
290,"hamster",24,19,2,99,0,5.31428571428571,34
290,"rat",12,19,3,99,0,5.31428571428571,35
291,"horse",2,1,1,1,1,4.6046511627907,1
291,"dog",1,2,1,2,0,4.6046511627907,2
291,"cat",1,2,2,1,1,4.6046511627907,3
291,"elephant",2,3,1,1,1,4.6046511627907,4
291,"dolphin",2,4,1,1,1,4.6046511627907,5
291,"squirrel",7,5,1,1,1,4.6046511627907,6
291,"bird",2,6,1,1,1,4.6046511627907,7
291,"chipmunk",7,7,1,3,0,4.6046511627907,8
291,"mouse",1,7,2,2,0,4.6046511627907,9
291,"rat",2,7,3,1,1,4.6046511627907,10
291,"cheetah",5,8,1,5,0,4.6046511627907,11
291,"lion",1,8,2,4,0,4.6046511627907,12
291,"giraffe",2,8,3,3,0,4.6046511627907,13
291,"hippopotamus",5,8,4,2,0,4.6046511627907,14
291,"rhino",4,8,5,1,1,4.6046511627907,15
291,"polarbear",6,9,1,2,0,4.6046511627907,16
291,"walrus",5,9,2,1,1,4.6046511627907,17
291,"elk",4,10,1,2,0,4.6046511627907,18
291,"deer",2,10,2,1,1,4.6046511627907,19
291,"snake",5,11,1,1,1,4.6046511627907,20
291,"otter",3,12,1,2,0,4.6046511627907,21
291,"fish",2,12,2,1,1,4.6046511627907,22
291,"wolf",6,13,1,4,0,4.6046511627907,23
291,"coyote",2,13,2,3,0,4.6046511627907,24
291,"moose",2,13,3,2,0,4.6046511627907,25
291,"bear",1,13,4,1,1,4.6046511627907,26
291,"crow",4,14,1,1,1,4.6046511627907,27
291,"pony",10,15,1,1,1,4.6046511627907,28
291,"chinchilla",9,16,1,1,1,4.6046511627907,29
291,"worm",9,17,1,3,0,4.6046511627907,30
291,"beetle",2,17,2,2,0,4.6046511627907,31
291,"cockroach",2,17,3,1,1,4.6046511627907,32
291,"starfish",10,18,1,3,0,4.6046511627907,33
291,"shark",1,18,2,2,0,4.6046511627907,34
291,"whale",3,18,3,1,1,4.6046511627907,35
291,"gorilla",6,19,1,2,0,4.6046511627907,36
291,"monkey",3,19,2,1,1,4.6046511627907,37
291,"penguin",6,20,1,2,0,4.6046511627907,38
291,"coral",12,20,2,1,1,4.6046511627907,39
291,"eagle",6,21,1,1,1,4.6046511627907,40
291,"lizard",7,22,1,2,0,4.6046511627907,41
291,"spider",6,22,2,1,1,4.6046511627907,42
291,"bunny",20,23,1,99,0,4.6046511627907,43
292,"dog",2,1,1,5,0,5.625,1
292,"cat",1,1,2,4,0,5.625,2
292,"lion",4,1,4,2,0,5.625,4
292,"tiger",3,1,5,1,1,5.625,5
292,"bear",1,2,1,1,1,5.625,6
292,"monkey",4,3,1,1,1,5.625,7
292,"panda",3,4,1,1,1,5.625,8
292,"cheetah",3,5,1,2,0,5.625,9
292,"jaguar",2,5,2,1,1,5.625,10
292,"horse",2,6,1,1,1,5.625,11
292,"coyote",3,7,1,1,1,5.625,12
292,"bird",8,8,1,1,1,5.625,13
292,"koala",3,9,1,1,1,5.625,14
292,"flamingo",7,10,1,1,1,5.625,15
292,"giraffe",9,11,1,2,0,5.625,16
292,"elephant",3,11,2,1,1,5.625,17
292,"emu",6,12,1,1,1,5.625,18
292,"rhino",29,13,1,2,0,5.625,19
292,"ostrich",26,13,2,1,1,5.625,20
292,"yak",6,14,1,1,1,5.625,21
292,"goat",2,15,1,8,0,5.625,22
292,"lamb",4,15,2,7,0,5.625,23
292,"sheep",1,15,3,6,0,5.625,24
292,"cow",2,15,4,5,0,5.625,25
292,"pig",4,15,5,4,0,5.625,26
292,"llama",4,15,6,3,0,5.625,27
292,"rabbit",16,15,7,2,0,5.625,28
292,"skunk",4,15,8,1,1,5.625,29
292,"anteater",4,16,1,1,1,5.625,30
292,"alligator",6,17,1,99,0,5.625,31
292,"crocodile",6,17,2,99,0,5.625,32
293,"dog",3,1,1,2,0,6.20689655172414,1
293,"cat",1,1,2,1,1,6.20689655172414,2
293,"moose",2,2,1,1,1,6.20689655172414,3
293,"buffalo",2,3,1,5,0,6.20689655172414,4
293,"giraffe",3,3,2,4,0,6.20689655172414,5
293,"monkey",6,3,3,3,0,6.20689655172414,6
293,"lion",2,3,4,2,0,6.20689655172414,7
293,"tiger",1,3,5,1,1,6.20689655172414,8
293,"bear",3,4,1,1,1,6.20689655172414,9
293,"labradorretriever",9,5,1,5,0,6.20689655172414,10
293,"puggle",6,5,3,3,0,6.20689655172414,12
293,"fish",17,5,4,2,0,6.20689655172414,13
293,"salmon",5,5,5,1,1,6.20689655172414,14
293,"whale",2,6,1,7,0,6.20689655172414,15
293,"beluga",6,6,2,6,0,6.20689655172414,16
293,"killerwhale",4,6,3,5,0,6.20689655172414,17
293,"shark",2,6,4,4,0,6.20689655172414,18
293,"turtle",3,6,5,3,0,6.20689655172414,19
293,"coral",7,6,6,2,0,6.20689655172414,20
293,"jellyfish",6,6,7,1,1,6.20689655172414,21
293,"snake",8,7,1,1,1,6.20689655172414,22
293,"cheetah",16,8,1,2,0,6.20689655172414,23
293,"jaguar",3,8,2,1,1,6.20689655172414,24
293,"spider",5,9,1,1,1,6.20689655172414,25
293,"human",8,10,1,1,1,6.20689655172414,26
293,"guineapig",29,11,1,99,0,6.20689655172414,27
293,"hamster",3,11,2,99,0,6.20689655172414,28
293,"betta",15,11,3,99,0,6.20689655172414,29
294,"giraffe",4,1,1,7,0,4.84615384615385,1
294,"lion",2,1,2,6,0,4.84615384615385,2
294,"tiger",2,1,3,5,0,4.84615384615385,3
294,"panther",2,1,4,4,0,4.84615384615385,4
294,"bobcat",9,1,5,3,0,4.84615384615385,5
294,"lynx",3,1,6,2,0,4.84615384615385,6
294,"jaguar",10,1,7,1,1,4.84615384615385,7
294,"bear",5,2,1,2,0,4.84615384615385,8
294,"polarbear",4,2,2,1,1,4.84615384615385,9
294,"moose",4,3,1,4,0,4.84615384615385,10
294,"deer",3,3,2,3,0,4.84615384615385,11
294,"elk",2,3,3,2,0,4.84615384615385,12
294,"ram",5,3,4,1,1,4.84615384615385,13
294,"eagle",4,4,1,3,0,4.84615384615385,14
294,"hawk",7,4,2,2,0,4.84615384615385,15
294,"cardinal",5,4,3,1,1,4.84615384615385,16
294,"panda",3,5,1,1,1,4.84615384615385,17
294,"squirrel",6,6,1,2,0,4.84615384615385,18
294,"chipmunk",3,6,2,1,1,4.84615384615385,19
294,"owl",3,7,1,1,1,4.84615384615385,20
294,"fish",2,8,1,5,0,4.84615384615385,21
294,"otter",8,8,2,4,0,4.84615384615385,22
294,"seal",2,8,3,3,0,4.84615384615385,23
294,"whale",2,8,4,2,0,4.84615384615385,24
294,"dolphin",6,8,5,1,1,4.84615384615385,25
294,"koala",3,9,1,2,0,4.84615384615385,26
294,"kangaroo",3,9,2,1,1,4.84615384615385,27
294,"fox",10,10,1,2,0,4.84615384615385,28
294,"raccoon",4,10,2,1,1,4.84615384615385,29
294,"bat",9,11,1,1,1,4.84615384615385,30
294,"chimpanzee",7,12,1,5,0,4.84615384615385,31
294,"ape",2,12,2,4,0,4.84615384615385,32
294,"monkey",5,12,3,3,0,4.84615384615385,33
294,"spidermonkey",4,12,4,2,0,4.84615384615385,34
294,"baboon",5,12,5,1,1,4.84615384615385,35
294,"snake",6,13,1,99,0,4.84615384615385,36
294,"crocodile",8,13,2,99,0,4.84615384615385,37
294,"alligator",3,13,3,99,0,4.84615384615385,38
294,"komododragon",14,13,4,99,0,4.84615384615385,39
295,"bear",3,1,1,1,1,4.39024390243902,1
295,"giraffe",2,2,1,1,1,4.39024390243902,2
295,"horse",2,3,1,1,1,4.39024390243902,3
295,"kangaroo",4,4,1,1,1,4.39024390243902,4
295,"snake",2,5,1,1,1,4.39024390243902,5
295,"lion",1,6,1,2,0,4.39024390243902,6
295,"tiger",2,6,2,1,1,4.39024390243902,7
295,"parakeet",2,7,1,12,0,4.39024390243902,8
295,"penguin",2,7,2,11,0,4.39024390243902,9
295,"parrot",6,7,3,10,0,4.39024390243902,10
295,"cat",3,7,4,9,0,4.39024390243902,11
295,"dog",2,7,5,8,0,4.39024390243902,12
295,"chinchilla",4,7,6,7,0,4.39024390243902,13
295,"guineapig",2,7,7,6,0,4.39024390243902,14
295,"rabbit",2,7,8,5,0,4.39024390243902,15
295,"squirrel",6,7,9,4,0,4.39024390243902,16
295,"mouse",2,7,10,3,0,4.39024390243902,17
295,"rat",1,7,11,2,0,4.39024390243902,18
295,"hamster",7,7,12,1,1,4.39024390243902,19
295,"hyena",6,8,1,1,1,4.39024390243902,20
295,"deer",7,9,1,1,1,4.39024390243902,21
295,"bat",4,10,1,1,1,4.39024390243902,22
295,"eagle",5,11,1,1,1,4.39024390243902,23
295,"elephant",12,12,1,2,0,4.39024390243902,24
295,"camel",2,12,2,1,1,4.39024390243902,25
295,"emu",2,13,1,1,1,4.39024390243902,26
295,"sloth",3,14,1,1,1,4.39024390243902,27
295,"rhinoceros",7,15,1,8,0,4.39024390243902,28
295,"monkey",9,15,2,7,0,4.39024390243902,29
